,term
359,decisions
360,dedicated
361,deeply
362,defend
363,defense
364,deficit
365,deficits
366,degree
367,delay
368,demand
369,democracy
371,democratic
373,denied
374,department
375,departments
376,deserve
377,designed
378,despite
379,destruction
380,determine
381,determined
382,develop
383,developed
384,developing
385,development
386,did
387,didnt
388,died
389,difference
390,differences
391,different
392,difficult
393,direct
394,direction
395,directly
396,director
397,disabled
398,disaster
399,discrimination
400,discuss
401,discussion
402,disease
403,distinguished
404,district
405,districts
406,doctors
407,does
408,doesnt
409,doing
410,dollar
411,dollars
412,domestic
413,dont
414,doubt
416,drug
417,drugs
418,duty
419,earlier
420,early
421,east
422,easy
423,economic
424,economy
425,education
426,educational
427,effect
428,effective
429,effectively
430,effects
431,efficient
432,effort
433,efforts
434,elderly
435,elected
436,election
437,elections
438,eligible
439,eliminate
440,emergency
441,employee
442,employees
443,employer
444,employers
445,employment
446,enacted
447,encourage
448,end
449,energy
450,enforcement
451,enormous
452,ensure
453,entire
454,entitled
455,environment
456,environmental
457,epa
458,equal
459,equipment
460,especially
461,essential
462,establish
463,established
464,estimated
465,estimates
466,europe
467,event
468,events
469,everybody
470,evidence
471,exactly
472,example
473,exchange
474,executive
475,exist
476,existing
477,expand
478,expect
479,expected
480,expenses
481,expensive
482,experience
483,experts
484,explain
485,export
486,exports
487,express
488,expressed
489,extend
490,extension
491,extent
492,extraordinary
493,extremely
494,face
495,faced
496,facilities
497,facility
498,facing
499,fact
500,facts
501,failed
502,failure
503,fair
504,fairness
505,faith
506,fall
507,families
508,family
509,far
510,farm
511,farmers
512,father
513,favor
514,fear
515,february
516,federal
517,feel
518,fees
519,fellow
520,felt
521,field
522,fight
523,fighting
524,figure
525,final
526,finally
527,finance
528,financial
529,financing
530,fine
531,firms
532,fiscal
533,fix
534,flag
535,flexibility
536,floor
538,focus
539,folks
540,follow
541,following
542,food
543,force
544,forced
545,forces
546,foreign
547,forest
548,forget
549,form
550,forth
551,forward
552,fought
553,foundation
554,fourth
555,frankly
556,fraud
557,free
558,freedom
559,friend
560,friends
561,fuel
562,fully
563,fund
564,fundamental
565,funded
566,funding
567,funds
568,future
569,gas
570,gave
571,general
572,generation
573,generations
577,gets
578,getting
579,given
580,gives
581,giving
582,global
583,goal
584,goals
585,god
586,goes
587,going
588,gone
589,good
590,goods
591,got
592,government
593,governments
594,governor
595,grant
596,grants
597,great
598,greater
599,greatest
600,ground
601,group
602,groups
603,grow
604,growing
605,growth
606,guarantee
607,guard
608,gulf
609,gun
610,half
611,hand
612,hands
613,happen
614,happened
615,happening
616,happens
617,happy
618,hard
619,having
620,head
621,health
622,hear
623,heard
624,hearing
625,hearings
626,heart
627,held
628,help
629,helped
630,helping
631,high
632,higher
633,highest
634,highly
635,highway
636,historic
637,history
638,hit
639,hold
640,home
641,homeland
642,homes
643,honor
644,hope
645,hospital
646,hospitals
647,hour
648,hours
649,house
650,housing
651,human
652,hundreds
653,idea
654,ideas
656,illegal
659,immediate
660,immediately
661,immigration
662,impact
663,implement
664,importance
665,important
666,importantly
667,improve
668,improvement
669,improvements
670,improving
671,incentives
672,include
673,included
674,includes
675,including
676,income
677,increase
678,increased
679,increases
680,increasing
681,independence
682,independent
683,indian
684,indicated
685,individual
686,individuals
687,industrial
688,industries
689,industry
690,inflation
691,information
692,infrastructure
693,initiative
694,instead
695,institute
696,institution
697,institutions
698,insurance
699,integrity
700,intelligence
701,intended
702,intent
703,interested
704,interesting
705,interests
706,interior
707,international
708,introduced
709,introducing
710,invest
711,investigation
712,investment
713,investments
714,involved
715,iowa
716,iran
717,iraq
718,iraqi
719,irs
720,isgood
721,island
722,isnt
723,israel
724,issue
725,issues
726,isvery
727,items
729,japan
730,japanese
732,job
733,jobs
735,join
736,joined
737,joint
738,judge
739,judges
740,judgment
741,judicial
742,judiciary
745,jurisdiction
746,just
747,justice
748,keeping
750,key
751,kids
752,killed
753,kind
754,kinds
755,knew
756,know
757,knowledge
758,known
759,knows
760,korea
761,labor
762,lack
763,land
764,lands
765,language
766,large
767,largest
768,late
769,later
770,law
771,laws
772,lead
773,leader
774,leaders
775,leadership
776,leading
777,learn
778,learned
779,leave
780,led
781,left
782,legal
783,legislation
784,legislative
785,let
786,lets
787,letter
788,level
789,levels
790,liability
791,life
792,light
793,like
794,likely
795,limit
796,limited
797,limits
798,line
799,lines
800,list
801,listen
802,little
803,live
804,lives
805,living
806,loan
807,loans
808,local
809,long
810,longer
811,longterm
812,look
813,looking
814,lose
815,loss
816,lost
817,lot
818,love
819,low
820,lower
821,lowincome
822,madam
823,maintain
824,major
825,majority
826,make
827,makes
828,making
829,man
830,management
831,mandate
832,manner
833,manufacturing
835,marine
836,market
837,markets
838,mass
839,massachusetts
840,matter
841,matters
842,maybe
843,mean
844,means
845,measure
846,measures
847,medicaid
848,medical
849,medicare
850,meet
851,meeting
852,member
853,members
854,men
855,mental
856,mentioned
857,message
858,met
859,mexico
860,michigan
861,middle
862,miles
863,military
864,million
865,millions
866,mind
867,minimum
868,minnesota
869,minority
870,minutes
871,missile
872,missiles
873,mission
874,moment
875,money
876,month
877,months
878,morning
879,mother
880,motion
881,moved
882,moving
885,nation
886,national
887,nations
888,native
889,nato
890,natural
891,nature
892,navy
893,near
894,nearly
895,necessary
896,need
897,needed
898,needs
899,negotiations
900,net
901,new
902,news
903,night
904,nomination
905,nominees
906,north
907,note
909,nuclear
910,number
911,numbers
912,numerous
914,obligation
915,obviously
916,occur
917,occurred
918,october
919,offer
920,offered
921,offering
922,office
923,officer
924,officers
925,official
926,officials
927,ofr
928,ohio
929,oil
930,old
931,older
932,ones
933,open
934,operating
935,operation
936,operations
937,opinion
938,opportunities
939,opportunity
940,oppose
941,opposed
942,opposition
943,option
944,options
945,order
946,organization
947,organizations
948,original
949,ought
950,outside
951,outstanding
952,overall
953,overseas
954,oversight
955,package
956,page
957,paid
958,parents
959,park
960,participate
961,participation
962,particular
963,particularly
964,parties
965,parts
966,party
967,pass
968,passage
969,passed
970,passing
971,past
972,patients
973,pay
974,paying
975,payment
976,payments
977,peace
978,penalty
979,pending
980,pennsylvania
981,people
982,peoples
983,percent
984,performance
985,period
986,permanent
987,permit
988,person
989,personal
990,personnel
991,persons
992,piece
993,place
994,placed
995,places
996,plan
997,planning
998,plans
999,plant
1000,play
1001,pleased
1002,point
1003,pointed
1004,points
1005,police
1006,policies
1007,policy
1008,political
1009,politics
1010,poor
1011,population
1012,position
1013,positive
1014,possible
1015,post
1016,potential
1017,poverty
1018,power
1019,powers
1020,practice
1021,practices
1022,prepared
1023,prescription
1024,present
1025,preserve
1027,presidential
1028,presidents
1029,press
1030,pressure
1031,prevent
1032,prevention
1033,previous
1034,price
1035,prices
1036,primary
1037,principle
1038,principles
1039,printed
1040,prior
1041,priorities
1042,priority
1043,prison
1044,private
1045,probably
1046,problem
1047,problems
1048,procedure
1049,procedures
1050,proceed
1051,process
1052,produce
1053,produced
1054,producers
1055,product
1056,production
1057,products
1058,program
1059,programs
1060,progress
1061,project
1062,projects
1063,promise
1064,promote
1065,proper
1066,property
1067,proposal
1068,proposals
1069,proposed
1070,protect
1071,protected
1072,protecting
1073,protection
1074,protections
1075,proud
1076,provide
1077,provided
1078,provides
1079,providing
1080,provision
1081,provisions
1082,public
1083,purchase
1084,purpose
1085,purposes
1086,putting
1087,quality
1088,question
1089,questions
1090,quickly
1091,quite
1092,r
1093,race
1094,raise
1095,raised
1096,raising
1097,range
1098,ranking
1099,rate
1100,rates
1101,reach
1102,reached
1103,read
1104,ready
1105,reagan
1106,real
1107,reality
1108,realize
1109,really
1110,reason
1111,reasonable
1112,reasons
1113,receive
1114,received
1115,receiving
1116,recent
1117,recently
1118,recognition
1119,recognize
1120,recognized
1121,recommendations
1122,record
1123,records
1124,recovery
1125,reduce
1126,reduced
1127,reducing
1128,reduction
1129,reductions
1130,reform
1131,reforms
1132,regard
1133,regarding
1134,region
1135,regulation
1136,regulations
1137,regulatory
1138,related
1139,relations
1140,relationship
1141,relief
1142,religious
1143,remain
1144,remains
1145,remarks
1146,remember
1147,repeal
1148,report
1149,reported
1150,reports
1151,represent
1152,representative
1153,representatives
1154,represents
1157,request
1158,requested
1159,require
1160,required
1161,requirement
1162,requirements
1163,requires
1164,requiring
1165,research
1166,reserve
1167,residents
1168,resolution
1169,resolve
1170,resources
1171,respect
1172,respond
1173,response
1174,responsibilities
1175,responsibility
1176,responsible
1177,rest
1178,restore
1179,result
1180,results
1181,retirement
1182,return
1183,revenue
1184,revenues
1185,review
1186,right
1187,rights
1188,rise
1189,risk
1190,river
1191,road
1192,role
1193,room
1194,rule
1195,rules
1196,run
1197,running
1198,rural
1199,russia
1200,s
1201,safe
1202,safety
1203,said
1204,sales
1205,san
1206,sanctions
1207,save
1208,savings
1209,saw
1210,say
1211,saying
1212,says
1213,school
1214,schools
1215,science
1216,scientific
1217,second
1218,secretary
1219,section
1220,sector
1221,secure
1222,security
1223,seek
1224,seeking
1225,seen
1226,sell
1227,senate
1228,senator
1229,senators
1230,send
1231,senior
1232,seniors
1233,sense
1234,sent
1235,september
1236,seriously
1237,serve
1238,served
1239,service
1240,services
1241,serving
1242,session
1243,set
1244,shall
1245,share
1246,short
1247,shows
1248,sides
1249,signed
1250,significant
1251,significantly
1252,similar
1253,simple
1254,simply
1255,single
1256,site
1257,situation
1258,size
1259,skills
1260,small
1261,socalled
1262,social
1263,society
1264,soldiers
1265,solution
1266,solve
1267,somebody
1268,soon
1269,sort
1270,sound
1271,source
1272,sources
1273,south
1274,soviet
1275,space
1276,speak
1277,speaker
1278,special
1279,specific
1280,specifically
1281,speech
1282,spend
1283,spending
1284,spent
1285,spirit
1286,st
1287,staff
1288,stand
1289,standard
1290,standards
1291,standing
1292,start
1293,started
1294,state
1295,stated
1296,statement
1297,statements
1298,states
1299,station
1300,status
1301,stay
1302,step
1303,steps
1304,stop
1305,story
1306,strategic
1307,strategy
1308,street
1309,strength
1310,strengthen
1311,strike
1312,strong
1313,strongly
1314,student
1315,students
1316,studies
1317,study
1318,subcommittee
1319,subject
1320,substantial
1321,substitute
1322,success
1323,successful
1324,suffering
1325,suggest
1326,supplemental
1327,supply
1328,support
1329,supported
1330,supporting
1331,supposed
1332,supreme
1333,sure
1334,surplus
1335,systems
1336,table
1337,taken
1338,takes
1339,taking
1340,talk
1341,talked
1342,talking
1343,task
1344,tax
1345,taxes
1346,taxpayer
1347,taxpayers
1348,teachers
1349,team
1350,technical
1351,technologies
1352,technology
1353,television
1354,tell
1355,term
1356,terms
1357,terrorism
1358,terrorist
1359,terrorists
1360,test
1361,testimony
1362,testing
1365,thank
1366,thathave
1367,thats
1368,thes
1369,thing
1370,things
1371,think
1372,thought
1373,thousands
1374,threat
1375,threats
1376,time
1377,times
1378,title
1379,tobacco
1380,today
1381,todays
1382,told
1383,tomorrow
1384,tonight
1385,took
1386,total
1387,tough
1388,town
1389,track
1390,trade
1391,training
1392,transportation
1393,travel
1394,treasury
1395,treatment
1396,treaty
1397,tremendous
1398,tried
1399,trillion
1400,troops
1401,true
1402,truly
1403,trust
1404,truth
1405,try
1406,trying
1407,turn
1408,turned
1409,type
1410,ultimately
1411,unable
1412,unanimous
1413,underlying
1414,understand
1415,understanding
1416,unemployment
1417,unfair
1418,unfortunately
1419,union
1420,unique
1421,united
1422,university
1423,unless
1424,urban
1425,urge
1426,use
1427,used
1428,using
1429,va
1430,value
1431,values
1432,various
1433,version
1434,veterans
1435,veto
1436,vice
1437,victims
1438,vietnam
1439,view
1440,views
1441,violence
1443,virtually
1444,vital
1445,voice
1446,vote
1447,voted
1448,votes
1449,voting
1450,wage
1451,wait
1452,waiting
1453,wall
1454,want
1455,wanted
1456,wants
1457,war
1459,waste
1460,water
1461,way
1462,ways
1463,weapons
1464,week
1465,weeks
1466,welfare
1467,went
1468,west
1469,western
1470,white
1471,wife
1472,wildlife
1473,willing
1475,wish
1476,woman
1477,women
1478,word
1479,words
1480,work
1481,worked
1482,workers
1483,working
1484,works
1485,world
1486,worse
1487,worth
1488,written
1489,wrong
1490,wrote
1491,year
1492,years
1493,yes
1494,yesterday
1495,yield
1496,yielding
1498,young
1499,youth
